"GEOID","NAME","below_high_school","high_school_grad","some_college_assoc","bachelors_plus"
"06075061402","Census Tract 614.02; San Francisco County; California",16,109,204,1568
"06075061501","Census Tract 615.01; San Francisco County; California",0,111,329,1271
"06075061502","Census Tract 615.02; San Francisco County; California",62,190,65,1653
"06075061503","Census Tract 615.03; San Francisco County; California",221,51,270,2627
"06075061504","Census Tract 615.04; San Francisco County; California",157,57,98,1433
"06075061505","Census Tract 615.05; San Francisco County; California",10,0,61,760
"06075061506","Census Tract 615.06; San Francisco County; California",0,53,253,3550
"06075061507","Census Tract 615.07; San Francisco County; California",66,109,101,786
"06075061508","Census Tract 615.08; San Francisco County; California",163,119,383,1049
"06075980200","Census Tract 9802; San Francisco County; California",19,82,15,44
"06075980300","Census Tract 9803; San Francisco County; California",0,5,4,49
"06075980401","Census Tract 9804.01; San Francisco County; California",0,0,0,0
"06075980501","Census Tract 9805.01; San Francisco County; California",113,20,10,0
"06075980600","Census Tract 9806; San Francisco County; California",119,128,251,437
"06075980900","Census Tract 9809; San Francisco County; California",73,17,57,202
