X,Y,full_id,osm_id,osm_type,shop,contact_ph,name_zh,addr_unit,official_n,contact_fa,sfgov_OBJN,payment_co,organic,level,origin,alt_name,addr_house,atm,payment_de,payment_cr,payment_ca,roof_shape,start_date,roof_colou,internet_a,building_c,layer,operator,wikipedia,wikidata,payment_vi,payment_ma,image,email,cooperativ,roof_level,check_date,smoking,ref,branch,wheelchair,phone,height,designatio,website,type,opening_ho,name,check_da_1,building_l,building,brand_wiki,brand,addr_stree,addr_state,addr_postc,addr_hou_1,addr_count,addr_city,name_zh-Ha,name_zh-_1,name_ko,name_en,alt_name_k,payment_am,entrance,door,automatic_,drink_wine,diet_veget,diet_vegan,diet_halal,descriptio,wikimedia_,payment_ap,cuisine,toilets_wh,old_name,addr_cou_1,visibility,support,faces,display,date,amenity,self_check,opening__1,internet_1,dog,path
548056.719316523,4175310.49527114,n1924130352,"1924130352",node,supermarket,,,,,,,,,,,,"1150",,,,,,,,,,,,,,,,,,,,2024-10-03,,ocean,Ocean,,+1 415-333-7400,,,https://www.wholefoodsmarket.com/stores/ocean,,,Whole Foods Market,2024-10-03,,,Q1809448,Whole Foods Market,Ocean Avenue,CA,"94112",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 08:00-22:00,,,/Users/admin/Desktop/QGIS/point.shp
551268.829783531,4178149.67058395,n2047570604,"2047570604",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-27,,,,limited,,,,,,,Casa Guadalupe,2025-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 08:00-20:00,,,/Users/admin/Desktop/QGIS/point.shp
551047.109300489,4178483.89450121,n2050131394,"2050131394",node,supermarket,,,,,,,,,,,,"1299",,,,,,,,,,,,,,,,,,,,2025-02-27,,,,no,,,,,,,Valencia Farmers Market,2025-02-27,,,,,Valencia Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mo-Fr 08:00-19:00; Sa,Su 08:30-18:30",,,/Users/admin/Desktop/QGIS/point.shp
552421.024295053,4176068.47802203,n2059226347,"2059226347",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Bruno Supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
551003.926184762,4179016.08014892,n2069159598,"2069159598",node,supermarket,,,,,,,,,,,,"999",,,,,,,,,,,,,,yes,yes,,,,,2025-07-31,,,,yes,,,,,,,Valencia Whole Foods,2025-07-31,,,,,Valencia Street,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,Th-Tu 11:00-21:00,,,/Users/admin/Desktop/QGIS/point.shp
549897.453702138,4176522.43553671,n2078333126,"2078333126",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buddies Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
551603.582428933,4184394.87902214,n2130264969,"2130264969",node,supermarket,,,,,,,,,,,,"401",,,,,,,,,,,,,,,,,,,,,,"19",San Francisco - North Beach,,+1 415-351-1013,,,https://locations.traderjoes.com/ca/san-francisco/19/,,,Trader Joe's,,,,Q688825,Trader Joe's,Bay Street,CA,"94133",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 08:00-21:00,,,/Users/admin/Desktop/QGIS/point.shp
550099.358645979,4182141.42171667,n2184767720,"2184767720",node,supermarket,,,#333,,,,,yes,"0",,,"1737",,yes,yes,yes,,,,,,,,,,,,,,,,2024-02-03,,,,yes,+1 415 5631901,,,https://www.nijiya.com/,,https://www.nijiya.com/store-location,Nijiya Market,,,,Q24566947,,Post Street,CA,"94115",,,San Francisco,,,,,,,,,,,,,,,Category:Nijiya Market (San Francisco store),yes,japanese,,,,,,,,,,,Mo-Su 10:00-20:00,,,/Users/admin/Desktop/QGIS/point.shp
551249.223033766,4182760.29775993,n2184790554,"2184790554",node,supermarket,,,,,,,,,,,,"1095",,,yes,,,,,,,,,,,,,,,,,2023-01-09,,"200",San Francisco - Nob Hill,yes,+1 415-292-7665,,,https://locations.traderjoes.com/ca/san-francisco/200/,,,Trader Joe's,,,,Q688825,Trader Joe's,Hyde Street,CA,"94109",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 09:00-21:00,,,/Users/admin/Desktop/QGIS/point.shp
551512.275635358,4183339.82116615,n2220082604,"2220082604",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Russian Hill Market,,,,,,Jones Street,,,,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
549476.771266019,4181301.22454978,n2338835471,"2338835471",node,supermarket,,,,,,,,,"0",,,"860",,,,,,,,,,,,,,,,,,,,2025-09-05,,,,yes,,,,http://www.greenearthnaturalfoods.com/,,,Green Earth,,,,,,Divisadero Street,CA,"94117",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 09:00-21:00,,,/Users/admin/Desktop/QGIS/point.shp
550459.91654158,4180311.6603203,n2479681841,"2479681841",node,supermarket,,,,,,,,,"0",,,"2001",,,,,,,,,,,,,,,,,,,,2025-06-06,,2001marketstreet,2001 Market Street,yes,+1 415-626-1430,,,https://www.wholefoodsmarket.com/stores/2001marketstreet,,,Whole Foods Market,2025-06-06,,,Q1809448,Whole Foods Market,Market Street,CA,"94114",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 08:00-22:00,,,/Users/admin/Desktop/QGIS/point.shp
552390.008170297,4177309.65735043,n2641796593,"2641796593",node,supermarket,,,,Grocery Outlet Bargain Market,,,,,,,,"355",,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,Grocery Outlet,,,,Q5609934,Grocery Outlet,Bayshore Boulevard,,"94124",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 08:00-21:00,,,/Users/admin/Desktop/QGIS/point.shp
552087.064141355,4178568.67740339,n2667574537,"2667574537",node,supermarket,,,,,https://www.facebook.com/profile.php?id=100063808397737,,,yes,,,,"2824",,,,,,,,,,,,,,yes,yes,,,,,2023-02-11,,,,yes,+1 415-282-6838,,,,,,Five Markets,,,,,,24th Street,,"94110",,,San Francisco,,,,,,,,,,,yes,yes,yes,Natural food grocery store,,,,,,,,,,,,,,"09:00-20:00",,,/Users/admin/Desktop/QGIS/point.shp
548391.49410161,4180374.46639969,n2693004231,"2693004231",node,supermarket,,,,,,,,,"0",,,"1699",,,,,,,,,,,,,,,,,,,,2026-01-25,,,,yes,,,,,,,Frank's Liquors,,,,,,Haight Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mo-Th,Su 07:00-02:00; Fr-Sa 07:00-24:00",,,/Users/admin/Desktop/QGIS/point.shp
550998.543801368,4182696.15194219,n2698387925,"2698387925",node,supermarket,,,,,,,,,,,,"1475",,,yes,,,,,,,,,,,,,,,,,2023-02-09,,,,yes,+1-415-771-9099,,,,,,Golden Farmer Market,,,,,,Polk Street,,"94109",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
552070.836821202,4183557.39980263,n3148123214,"3148123214",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pang Kee Bargain Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
552061.995573817,4183613.35354422,n3148123215,"3148123215",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sun Kau Shing Co., Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
551370.819940269,4182500.84664023,n3376135508,"3376135508",node,supermarket,,,,,,,,,,,,"988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sutter Fine Foods,,,,,,Sutter Street,CA,"94109",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 08:00-20:00,,,/Users/admin/Desktop/QGIS/point.shp
545615.188607732,4181965.69468656,n3524458050,"3524458050",node,supermarket,,,,,,,,,,,,"6001",,,,,,,,,,,,,,,,,,,,,,,,,+1 415-221-7600,,,,,,6001 California Market (Appel & Dietrich),,,,,,California Street,CA,"94121",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 08:30-20:30,,,/Users/admin/Desktop/QGIS/point.shp
545875.805527014,4177402.62440172,n3564521986,"3564521986",node,supermarket,,幸運平價市場,,,,,,,,,,"1217",,,,,,,,,,,,,,,,,,,,,,,,,+1 415 682-8822,,,,,,Good Luck Market,,,,,,Taraval Street,CA,"94116",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
551813.353963912,4181179.1971945,n3641710571,"3641710571",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-14,,,,,,,,,,,Harvest Urban Market,,,,,,8th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mo-Fr 07:00-22:00; Sa-Su 08:30-22:00",,,/Users/admin/Desktop/QGIS/point.shp
551717.612575972,4179790.71043006,n3850073315,"3850073315",node,supermarket,,,,,,,,,,,,"2111",,,,,,,,,,,,,,,,,,,,,,,,,+1 415 431 9300,,,https://gussmarket.com/,,,Gus's Community Market,,,,,,Harrison Street,,"94110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07:00-22:00",,,/Users/admin/Desktop/QGIS/point.shp
551657.233009998,4178176.95963806,n3857827557,"3857827557",node,supermarket,,,,,,,,,,,,"2997",yes,,,,,,,,,,,,,yes,yes,,,,,2024-04-09,,,,no,,,,,,,Rubin's Market,,,,,,Folsom Street,,,,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
551941.974845119,4183292.82534719,n3969574176,"3969574176",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kiki Supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
552060.314773816,4183467.08311075,n4017220288,"4017220288",node,supermarket,,,,,,,,,,,,"1215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J & L Vegi Supermarket,,,,,,Stockton Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
552120.349686372,4183442.35414582,n4018980288,"4018980288",node,supermarket,,,,,,,,,,,,"772",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Asia Market,,,,,,Pacific Avenue,,"94133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
551243.2447976,4178051.98377916,n4113464697,"4113464697",node,supermarket,,,,,,,,,,,,"3400",,,,,,,,,,,,,,,,,,,,2025-03-06,,,,yes,,,,,,,Casa Guadalupe,2025-03-06,,,,,Cesar Chavez Street,CA,"94110",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 08:00-20:00,,,/Users/admin/Desktop/QGIS/point.shp
551421.149464274,4178667.45009548,n4173566690,"4173566690",node,supermarket,,,,,,,,,,,,"1201;1203;1205",,,,,,,,,,,,,,,,,,,,2023-02-13,,,,,,,,,,,Casa Maria,,,,,,South Van Ness Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
551139.916239999,4179383.05735955,n4218361464,"4218361464",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-25,,,,yes,,,,,,,City Discount Meat & Grocery Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
551238.915767457,4178551.45662425,n4548821705,"4548821705",node,supermarket,,,,,,,,,,,,"2765",,,,,,,,,,,,,,,,,,,,,,,,limited,,,,,,,Mi Pueblito Market,,,,,,Mission Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
545118.547787412,4181501.77367839,n4564626093,"4564626093",node,supermarket,,,,Grocery Outlet Bargain Market,,,,,"0",,,"6333",,yes,yes,yes,,,,,,,,,,,,,,,,2022-10-17,,"245",,yes,+1-415-876-5576,,,https://groceryoutlet.com/circulars/storeid/245,,,Grocery Outlet,,,,Q5609934,Grocery Outlet,Geary Boulevard,CA,"94121",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sa-Su 08:00-22:00,,,/Users/admin/Desktop/QGIS/point.shp
551509.017968464,4183220.23673524,n4625108173,"4625108173",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,Jackson Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Sa 14:00-19:00,,,/Users/admin/Desktop/QGIS/point.shp
551708.993778391,4183052.50761295,n4625169865,"4625169865",node,grocery,,,,,,,,,,,,"1199",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VJ Grocery,,,,,,Taylor Street,CA,,,,San Francisco,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
549956.161554913,4183613.86014203,n4625224087,"4625224087",node,grocery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
545892.250611886,4181980.55958694,n4630226706,"4630226706",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New California Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
551553.272435058,4182203.24383724,n4631891265,"4631891265",node,grocery,,,,,,,,,,,,"596",,,,,,,,,,,,,,,,,,,,2024-03-30,,,,,,,,,,,Mi Reyna Market,,,,,,O'Farrell Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
551218.067422588,4183171.19912929,n4637210183,"4637210183",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J H Grocery and Liquor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
552606.883600002,4179835.37325762,n4661543003,"4661543003",node,supermarket,,,,,,,,,,,,"450",,,,,,,,,,,Whole Foods,,,,,,,,,2024-10-03,,potrerohill,Potrero Hill,no,+1 415-552-1155,,,https://www.wholefoodsmarket.com/stores/potrerohill,,,Whole Foods Market,2024-10-03,,,Q1809448,Whole Foods Market,Rhode Island Street,CA,"94107",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 08:00-22:00,,,/Users/admin/Desktop/QGIS/point.shp
553596.01889146,4180944.88547189,n4693634740,"4693634740",node,supermarket,,,,,,,yes,,,,,"1101",,,yes,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,,,Gus's Community Market,,,,,,4th Street,CA,"94158",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PH,Mo-Su 08:00-21:00",,,/Users/admin/Desktop/QGIS/point.shp
552336.142915856,4182171.24622637,n4704557447,"4704557447",node,supermarket,,,,,,,,,"-1",,,"10",,,,,,,,,,,,,,,,,,,,2025-03-04,,"225",San Francisco - Pacific Place,,+1 415-536-7801,,,https://locations.traderjoes.com/ca/san-francisco/225/,,,Trader Joe's,2022-10-14,,,Q688825,Trader Joe's,4th Street,CA,"94103",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09:00-21:00",,,/Users/admin/Desktop/QGIS/point.shp
549410.994594373,4180812.39162591,n4852448016,"4852448016",node,supermarket,,,,,,,,,"0",,,"302",,,,,,,,,,,,,,,,,,,,2025-12-02,,,,,,,,http://fallettifoods.com,,,Falletti Foods,,,,,,Broderick Street,CA,"94127",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 07:00-21:00,,,/Users/admin/Desktop/QGIS/point.shp
553535.383540638,4182582.36398857,n6469314085,"6469314085",node,supermarket,,,,,,,,,,,,"203",,,,,,,,,,,,,,,,,,,,2023-11-17,,,,,,,,https://www.woodlandsmarket.com/san-francisco/,,,Woodlands Market,,,,,,Folsom Street,CA,"94105",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 07:00-21:00,,,/Users/admin/Desktop/QGIS/point.shp
543180.439800949,4180680.34740308,n6536212405,"6536212405",node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,sliding,yes,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
547335.930910636,4181892.44736235,n6791585433,"6791585433",node,grocery,,,,,,,,,"0",,,"304",,,,,,,,,,,,,,,,,,,,2025-04-27,,,,yes,,,,,,,Olive,,,,,,Clement Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
549718.171035738,4183467.67991063,n8140177640,"8140177640",node,supermarket,,,,,,,yes,yes,,,,"2190",,yes,yes,yes,,2020-11-14,,,,,,,,yes,yes,,,,,,,,,,,,,https://lukeslocal.com/,,,Luke's Local,,,,,,Union Street,CA,"94123",,,San Francisco,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,Mo-Su 08:00-21:00,,,/Users/admin/Desktop/QGIS/point.shp
546922.283065231,4173817.17180777,n8663867589,"8663867589",node,supermarket,,,,,,,,,,korean,,"3995",,,,,,,,,,,,,,,,,,,,2024-08-24,,,,yes,+1 650 9937450,,,https://www.hmart.com/storelocator/index/index/id/97/,,,H Mart,,,,Q5636306,H Mart,Alemany Boulevard,,,,,,韓亞龍,韩亚龙,한아름,H Mart,H 마트,,,,,,,,,,,,asian,,,,,,,,,,,"Mo-Su,PH 08:00-22:00",,,/Users/admin/Desktop/QGIS/point.shp
543742.956990951,4178512.03341526,n9147266528,"9147266528",node,supermarket,,,,,,,,,,,,"3701",,,,,,,,,,,,,,,,,,,,,,,,,+1-415-564-0370,,,https://gussmarket.com/market-locations/noriega-market-san-francisco/,,,Gus's Community Market,,,,,,Noriega Street,CA,"94122",,San Francisco,San Francisco,,,,,,,,,,,,,,"Neighborhood grocery store with fresh fruit, deli, fresh sushi, sandwiches, coffee, and more.",,,,,,US,,,,,,,,Mo-Su 08:00-21:00,,,/Users/admin/Desktop/QGIS/point.shp
551518.095529578,4180379.72195706,n9765670368,"9765670368",node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,sliding,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
544813.023950408,4178581.74473991,n9794184321,"9794184321",node,supermarket,,,,,,,,,"0",,,"2551",,,,,,,,,,,,,,,,,,,,2025-12-15,,,,yes,+1 415-682-7287,,,,,,Boss Supermarket,,,,,,Noriega Street,,,,,,,,,Boss Supermarket,,,,,,,,,,Asian grocery & seafood store,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
555403.435073073,4186739.73071724,n10057579916,"10057579916",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,islandcovemarket@yahoo.com,,,,,,,,+1-415-391-2299,,,https://islandcovefoodcourt.com,,,Island Cove Market,,,,,,,,"94130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
547103.337341917,4180942.96688027,n10311776854,"10311776854",node,supermarket,,,,,,,,,,,,"735",,,,,,,,,,,Safeway,,,,,,,,,2025-12-06,,,"2646",,+1-415-683-4070,,Safeway 2646,https://local.safeway.com/safeway/ca/san-francisco/735-7th-ave.html,,,Safeway,,,,Q1508234,Safeway,7th Avenue,CA,"94118",,San Francisco,San Francisco,,,,,,,,,,,,,,,,,,,,US,,,,,,,,Mo-Su 06:00-24:00,,,/Users/admin/Desktop/QGIS/point.shp
546146.259332771,4175884.08351278,n10610255658,"10610255658",node,supermarket,,,,,,,,,,,,"3251",,,,,,,,,,,,,,,,,,,,2024-10-03,,stonestown,Stonestown,,+1 415-375-4242,,,https://www.wholefoodsmarket.com/stores/stonestown,,,Whole Foods Market,2024-10-03,,,Q1809448,Whole Foods Market,20th Avenue,CA,"94132",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 08:00-22:00,,,/Users/admin/Desktop/QGIS/point.shp
546077.011460879,4181565.46366702,n10794112885,"10794112885",node,supermarket,,,,,,,,,"0",,,"5335",,,,,,,,,,,,,,,,,,,,2024-09-18,,,,,+1 415-221-5550,,,,,,Royal Market,,,,,,Geary Boulevard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09:00-20:00",,,/Users/admin/Desktop/QGIS/point.shp
546860.082603709,4176990.15828248,n11029498046,"11029498046",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Four Seasons Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
552951.932883178,4183451.77871563,n11064507175,"11064507175",node,supermarket,,,,,,,,,"0",,,"145",,,,,,,,,,,,,,,,,,,,,,"4601",,yes,+1 415-982-3112,,,https://local.safeway.com/safeway/ca/san-francisco/145-jackson-st.html,,,Safeway,,,,Q1508234,Safeway,Jackson Street,CA,"94111",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06:00-21:00",,,/Users/admin/Desktop/QGIS/point.shp
547633.055178095,4175411.07986009,n11162304805,"11162304805",node,supermarket,,,,,,,,,,,,"1616",,,,,,,,,,,,,,,,,,,,,,,,,+1-415-988-7919,,,,,,Fruit Barn,,,,,,Ocean Avenue,CA,"94112",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 08:00-20:00,,,/Users/admin/Desktop/QGIS/point.shp
547696.718726348,4175394.38320606,n11330110153,"11330110153",node,supermarket,,,,,,,,,,,,"1532",,,,,,,,,,,,,,,,,,,,,,,,,+1-415-587-8908,,,,,,All Fresh Market,,,,,,Ocean Avenue,CA,"94112",,,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
551575.902461432,4181923.57112702,n11705132475,"11705132475",node,grocery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Golden Gate Market & Produce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
552928.378677607,4181973.07323794,n11897570031,"11897570031",node,supermarket,,,,,,,,,,,,"320",,,,,,,,,,,,,,,,,,,,,,,,,+1 415 979 9946,,,https://chaatcornersf.com/,,,Chaat Corner Indian Grocery,,,,,,3rd Street,,"94107",,,San Francisco,,,,,,,,,,,,,,,,,indian,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
550509.747022618,4181352.08694244,n11950809144,"11950809144",node,supermarket,,,,,,,,,,,,"788",,,yes,yes,,,,,,,,,,,,,,,,2024-06-01,,,,yes,,,,,,,Trader Joe's,,,,Q688825,Trader Joe's,Laguna Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09:00-21:00",,,/Users/admin/Desktop/QGIS/point.shp
551240.838313883,4178150.00694961,n12522217330,"12522217330",node,supermarket,,,,,,,,,,,,"2990",,,,,,,,,,,,,,,,,,,,2025-01-21,,,,,,,,,,,Samiramis Imports,,,,,,Mission Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
552086.743384375,4176157.33106963,n12730814708,"12730814708",node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
551152.510851451,4179258.45735306,n12863374035,"12863374035",node,supermarket,,,,,,,,,"0",,,"2366",,,,,,,,,,,,,,,,,,,,2025-05-25,,,,yes,,,,,,,Mission Food Center,,,,,,Mission Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
547011.289474678,4179832.84892532,n13069359115,"13069359115",node,supermarket,,,,,,,,,"0",,,"1266",,,,,,,,,,,,,,,,,,,,2026-01-13,,,,yes,,,,,,,Luke's Local,,,,,,9th Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
552258.931059881,4183166.30235262,n13311274107,"13311274107",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://haminimart.com/,,,Ha Mini Mart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/point.shp
553332.132301253,4175468.74636929,n13461244801,"13461244801",node,grocery,,,,,,,,,,,,"5900",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://miranchosupermarket.com/,,,Mi Rancho Supermarket,,,,,,3rd Street,,"94124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 07:00-20:30,,,/Users/admin/Desktop/QGIS/point.shp
